group,adjusted_segregation
Social Business,-0.3610376618290052
Social Business,-0.3751507427496737
Social Business,0.2792120701228595
Social Business,0.301393199538737
Social Business,0.277548590714864
Social Business,0.3596887683039155
Social Business,0.3056358976375605
Social Business,0.3069317692216574
Social Business,0.304908697720685
Social Business,0.319518261327801
Social Business,0.2878464839367365
Social Business,0.3135317101910879
Social Business,0.2885790451315755
Social Business,0.283733830340959
Social Business,0.32907645584107
Social Business,0.310043226001022
Social Business,0.440831068467536
Social Business,0.396048059608282
Social Business,0.3133528594549075
Social Business,0.27481611976611
Social Business,0.2827308554784045
Social Business,0.3203217100827185
Social Business,0.2726449809307995
Social Business,0.3015619731959095
Social Business,0.310197061210879
Social Business,0.4837075068747035
Social Business,0.345855783568829
Social Business,0.281272581375413
Social Business,0.3310234439957195
Social Business,0.368805047105344
Social Business,0.315013434932161
Social Business,0.2862851415692875
Social Business,0.2937546869497173
Social Business,0.336747244412729
Social Business,0.2760797203354518
Social Business,0.3972765818362695
Social Business,0.2873025076133018
Social Business,0.4262037682902025
Community,0.3423007498989675
Community,0.3846301129301964
Community,0.3261814602240994
Community,0.2980594060003995
Community,0.319597085748873
Community,0.31219741024516
Community,0.341185454863985
Community,0.3282131609024265
Community,0.4325641087048715
Community,0.3032393907201395
Community,0.380781670592495
Community,0.333861414267264
Community,0.3245610122844614
Community,0.3111219670316054
Community,0.3712988064490405
Community,0.3147143424699075
Community,0.3629188319605485
Community,0.3434448111280735
Community,0.3438517925411655
Community,0.321289742367671
Community,0.3183688835984468
Community,0.3076524152704603
Community,0.3190233713994278
Community,0.2971721524727595
Community,0.311575151510979
Community,0.3220899104561485
Community,0.304160917360489
Community,0.342852327501733
Community,0.40502853586064
Community,0.4292374095295615
Community,0.370641061689922
Community,0.34030118307682
Community,0.3288262471970085
Community,0.3597331472951765
Public Outdoor,-0.3596737661860807
Public Outdoor,-0.3718403342499482
Public Outdoor,0.3339126715937875
Public Outdoor,0.336668736250978
Public Outdoor,0.3371627355774305
Public Outdoor,0.338353352443722
Public Outdoor,0.3668799401652835
Public Outdoor,0.4143488394053525
Public Outdoor,0.3508231872882125
Public Outdoor,0.3495343113639545
Public Outdoor,0.4362543016950945
Public Outdoor,0.3779351848443639
Public Outdoor,0.359528514720176
Public Outdoor,0.3789918157240605
Public Outdoor,0.3364978117262258
Public Outdoor,0.3463117221399578
Public Outdoor,0.358484325423357
Public Outdoor,0.3812173648951485
Public Outdoor,0.351091029538704
Public Outdoor,0.3673819920665895
Public Outdoor,0.391720771552499
Public Outdoor,0.404096076132539
Baseline,-0.3953267846457713
Baseline,-0.4189508944768172
Baseline,-0.3926490564835042
Baseline,-0.3841357885504577
Baseline,-0.4124837269036568
Baseline,-0.4032044277114292
Baseline,-0.3973185781200647
Baseline,-0.3899698915293502
Baseline,-0.3878851737256223
Baseline,-0.3749296967637927
Baseline,-0.3987571275128627
Baseline,-0.3979857701542227
Baseline,0.4754961969100695
Baseline,0.376784287675846
Baseline,0.3830560757457735
Baseline,0.3789747971607454
Baseline,0.4298087233120665
Baseline,0.3892384668807265
Baseline,0.40613987982999
