x_panel,y_panel,group
0.8002176549776726,0.7056770346829881,Public Outdoor
0.6648533195429472,0.6332415105147521,Community
0.6622915101567288,0.6435043149717514,Social Business
0.27088714648454604,0.6002803429064658,Social Business
0.8304529539882672,0.7117900776836158,Public Outdoor
0.6668708585062604,0.6719296209981167,Public Outdoor
0.36698277077313723,0.3576510491211552,Community
0.4880718063216882,0.5236153844946642,Community
0.5680946436389107,0.5703705641870684,Baseline
0.37130024297347,0.37122186440677973,Social Business
0.3484494396287541,0.8814491643126177,Community
0.30465282921810705,0.9502643855932204,Baseline
0.6463753425707031,0.6465031136220967,Baseline
0.3507802666141319,0.8811044954488387,Community
0.5364121267839944,0.5661527275580667,Public Outdoor
0.4143420136152701,0.4546616862837415,Community
0.3606325201383417,0.29507067796610176,Social Business
0.7030717461255581,0.21374442011927186,Social Business
0.7308287836003852,0.41102648305084755,Baseline
0.409298560765257,0.10550940050219726,Baseline
0.671313707206024,0.614842368957941,Public Outdoor
0.43490983166973124,0.6657162217514124,Community
0.5439642938446722,0.7139984533898305,Baseline
0.33950497657823314,0.7305373932831136,Public Outdoor
0.3372565668505385,0.7143101694915255,Social Business
0.6453676637334733,0.7220490018832392,Baseline
0.4413266854916383,0.6807052926867545,Baseline
0.7371191981875492,0.6331484329880728,Social Business
0.6708430084931267,0.5857494271814188,Community
0.39162627944137995,0.22517703782172016,Baseline
0.5423955093687068,0.5732539414626492,Social Business
0.7049634259259259,0.6370511989956058,Social Business
0.5956514567463445,0.5892720527306968,Public Outdoor
0.44808675247351376,0.5104030657564345,Community
0.44805702215217585,0.5098943785310734,Community
0.44234534519744334,0.5096693212492154,Community
0.6449717789598108,0.398497698524796,Baseline
0.6700992076000349,0.6611004982736974,Social Business
0.7958623019000087,0.6980296539548023,Baseline
0.9087701930654059,0.64785704566855,Social Business
0.520580255669381,0.520207436440678,Community
0.5534963619648017,0.5276297818581294,Social Business
0.5902556650030646,0.5749454158819838,Public Outdoor
0.36939038284738646,0.7073019067796611,Community
0.3613999288591192,0.7067464132140615,Social Business
0.37318720668067595,0.7149205147520402,Community
0.39469419599859906,0.7675200549278092,Public Outdoor
0.6725862413536469,0.663311778091651,Social Business
0.5328095865073111,0.5345019813245451,Community
0.6449021637772524,0.49690622096672954,Community
0.7435171011732773,0.5841286785938482,Social Business
0.4110592406531828,0.5058636040489644,Social Business
0.5231259007529989,0.5740108906151915,Public Outdoor
0.5812220011382541,0.5725238394538607,Social Business
0.5689847605288503,0.6782484777150031,Public Outdoor
0.7994342176692059,0.5770340544569994,Social Business
0.5601376039751336,0.18974928358443188,Public Outdoor
0.5597803191489362,0.3547611715317013,Community
0.5261287814114352,0.5320919177652229,Public Outdoor
0.39284466115051225,0.42649958411801636,Baseline
0.553513486122056,0.41638725360954176,Baseline
0.3426140771386043,0.1335551027934715,Baseline
0.5610607849575343,0.6986808490269931,Baseline
0.9067248916469661,0.6470945590081607,Social Business
0.7320443382803608,0.6357453170119272,Social Business
0.627330268803082,0.7455198728813559,Community
0.06496478088608704,0.18935413763339626,Public Outdoor
0.09773254531126872,0.19423155131826753,Baseline
0.3386694334996936,0.6034435993408663,Public Outdoor
0.44825597473951495,0.554129741839297,Community
0.4250914762280011,0.5002125353107345,Community
0.32257582085631736,0.5971553884180791,Baseline
0.6325682273881447,0.16561078546767116,Community
0.5506350352420979,0.8318132760514751,Community
0.4315212787846949,0.8383033709981167,Social Business
0.6617647480518344,0.5571986024795983,Baseline
0.6534905054285964,0.7227476687068424,Community
0.21998613518956311,0.7921409298493409,Public Outdoor
0.43609215370808163,0.7240576506591337,Baseline
0.694779013440154,0.6125319538606403,Social Business
0.4379065657560634,0.5180314030131827,Community
0.424788121661851,0.5109792749529192,Community
0.42284504202784345,0.5087709839924671,Public Outdoor
0.6156110990718852,0.5520904370684244,Social Business
0.4629727278697137,0.5664802503138733,Social Business
0.4745312593030383,0.7450769467984935,Social Business
0.6735651179844147,0.6467526122096674,Public Outdoor
0.8051141406181596,0.7068167310106717,Community
0.22495331954294726,0.5437361581920905,Baseline
0.7125380669380964,0.6121642718141871,Community
0.676617915462744,0.6194406057752668,Social Business
0.3662998106558095,0.6631393463590709,Public Outdoor
0.5352353209000964,0.5441426561519147,Social Business
0.5079391395236845,0.528618488700565,Social Business
0.5147905152788723,0.5272409196484621,Community
0.5289270543297435,0.5239015426867546,Community
0.34363534607302343,0.7098132972379159,Social Business
0.6758105452674897,0.6260249074074073,Community
0.1376421449522809,0.21729538998744513,Public Outdoor
0.6758878250591016,0.2941500557124922,Baseline
0.21958308269853782,0.7958682069993723,Baseline
0.3748507256369845,0.6445189006591336,Baseline
0.38768744089834517,0.766244866603892,Baseline
0.24286085390946505,0.6424526647834276,Baseline
0.5210069904123983,0.5027673360012557,Community
0.3073766154452325,0.047753777463904634,Baseline
0.6237190329218107,0.15647284996861277,Baseline
0.3744720996410122,0.17774641792215962,Public Outdoor
0.3469530448296997,0.8811165638731953,Community
0.3471833617896857,0.8900879535467672,Community
0.3442046569915069,0.8819191949152543,Public Outdoor
0.32585536621136507,0.8353353381983679,Public Outdoor
0.6645238278171789,0.6634731975831765,Social Business
0.35272543997898614,0.8009021186440678,Baseline
0.34922849794238686,0.8002330547708726,Community
0.5712103570177742,0.6616726279033271,Public Outdoor
0.6699512225286753,0.6653657140615192,Public Outdoor
0.4616511393485685,0.6475559384808538,Social Business
0.39115330750372124,0.770068352950408,Public Outdoor
0.4586056693809649,0.6516579723791589,Public Outdoor
0.4568416228876631,0.5617776302573761,Public Outdoor
0.4767788186235881,0.5675967145323291,Social Business
0.5036487139917696,0.669405329566855,Public Outdoor
0.07922196392610104,0.5852644240426867,Social Business
0.6815151661413187,0.3251467741682361,Baseline
0.6973023093424394,0.6125668620527307,Public Outdoor
0.3489467045355048,0.050834441305712685,Baseline
0.4888512531739778,0.13669014359698695,Baseline
0.17040238814464587,0.24081742859384814,Social Business
0.5917291064705367,0.5651320087884495,Public Outdoor
0.453130328999212,0.7122984934086629,Community
0.4450934079765345,0.7157247481167608,Social Business
0.7249135047281323,0.6033676914626491,Social Business
0.5440564409859032,0.6518547292843692,Community
0.324716000131337,0.8335162390144382,Baseline
0.3433343840294195,0.707782959039548,Social Business
0.5517579163383242,0.8320218518518518,Baseline
0.20923341651344018,0.8014483623666039,Baseline
0.778281525260485,0.5861213402385437,Public Outdoor
0.4841877955082743,0.5685964171374764,Public Outdoor
0.7071263604325365,0.5908577456057753,Social Business
0.5442764665966203,0.5712899599811676,Community
0.539456242885912,0.5723100015693661,Social Business
0.7707598535592329,0.5284818228185814,Public Outdoor
0.6522422675334909,0.643085859227872,Public Outdoor
0.5427146517380265,0.5624631928750785,Social Business
0.7006668034760529,0.59187546217828,Public Outdoor
0.6473394536380351,0.7229625768989328,Baseline
0.5504958475615096,0.5629932344632769,Public Outdoor
0.6955345394448823,0.5843186770244821,Social Business
0.6618104609929077,0.6002218283113622,Public Outdoor
0.8193461846598371,0.5171298807281859,Public Outdoor
0.5829973874879608,0.5802764979598243,Community
0.6028326186410997,0.48893812774639056,Community
0.6663843829349444,0.6042235914940364,Social Business
0.3504135375623851,0.7174278782172003,Community
0.3434866495928553,0.7116414108600125,Social Business
0.3809906498993083,0.7136964430320151,Baseline
0.5335411424130987,0.6521999693973635,Social Business
0.5736196348831101,0.5803770841180164,Community
0.6160846653095176,0.6146246139359699,Social Business
0.6663082873653796,0.6489592984934087,Baseline
0.5058204962350057,0.6715709628060265,Public Outdoor
0.38712490915856757,0.8120098846516007,Social Business
0.3513511043253656,0.7357017451349654,Community
0.35242911960423784,0.7118606991525425,Public Outdoor
0.6902091443393749,0.6393935891399876,Community
0.7236379607740128,0.5799127746390459,Community
0.7070558204185272,0.5740494303201508,Baseline
0.1373125547237545,0.577581382611425,Baseline
0.35526852508536905,0.5921231034212179,Public Outdoor
0.7886806015235093,0.22942932517263037,Public Outdoor
0.2980125448734787,0.23491000470809809,Baseline
0.5296213433587251,0.47683571484620224,Baseline
0.8021587787846949,0.5052949882297553,Social Business
0.5383959482532178,0.6429627291274325,Community
0.6149785679887926,0.26376328468298815,Baseline
0.5450481251641713,0.5636299081920906,Public Outdoor
0.445566853821907,0.6581184251412429,Social Business
0.14859614197530865,0.5378680186754552,Social Business
0.2953682372384205,0.6371272826428123,Community
0.6268693087295333,0.5447079723791588,Social Business
0.6665785844059189,0.5820184125863153,Public Outdoor
0.6544852530426407,0.7202537704017578,Social Business
0.6865894459767096,0.6220143071249216,Public Outdoor
