city,County,Tract,Residual
Boston,0.54658759999999995,0.31987369999999998,0.13353870000000001
Chicago,0.52358499999999997,0.3695215,0.1068935
Dallas,0.587696,0.27093840000000002,0.14136560000000001
Miami,0.16487089999999999,0.58027799999999996,0.25485099999999999
New York,0.61204950000000002,0.2578163,0.13013420000000001
Philadelphia,0.55182989999999998,0.2976203,0.15054989999999999
San Francisco,0.29695890000000003,0.57997670000000001,0.1230644
Los Angeles,0.64676204000000004,0.27258803999999998,0.080649929999999995
Seattle,0.49208046999999999,0.40942944999999997,0.098490079999999994
Detroit,0.51754060000000002,0.37762469999999998,0.1048347
"Washington, DC",0.86055921999999996,0.077790380000000006,0.061650400000000001
