group,n_places,median,q1,q3,whisker_low,whisker_high
Social Business,5503,-0.04167405436629673,-0.1129930075830703,0.04081852833207424,-0.3268003127788475,0.2713645460155925
Community,4689,-0.0387211256832605,-0.1214831673930945,0.04558290623840248,-0.3674814798087312,0.2960242330869099
Public Outdoor,7860,-0.009271360248588871,-0.09661740234407223,0.07536815668213369,-0.3468230692132022,0.3312766092326815
Baseline,6764,0.0009532928266856276,-0.09445469199473001,0.09211138664320487,-0.3741038501813547,0.3710163123530015
