city,city_mean,x,density
San Francisco,-0.6159808577573086,-1,4.6957104242686106e-06
San Francisco,-0.6159808577573086,-0.99331103678929766,1.1552077859646831e-05
San Francisco,-0.6159808577573086,-0.98662207357859533,2.5902334182186627e-05
San Francisco,-0.6159808577573086,-0.97993311036789299,5.3040664032722018e-05
San Francisco,-0.6159808577573086,-0.97324414715719065,9.9537550533797565e-05
San Francisco,-0.6159808577573086,-0.96655518394648832,0.00017222116245984648
San Francisco,-0.6159808577573086,-0.95986622073578598,0.00027752030433520847
San Francisco,-0.6159808577573086,-0.95317725752508364,0.0004232329454128364
San Francisco,-0.6159808577573086,-0.94648829431438131,0.00062503306128557155
San Francisco,-0.6159808577573086,-0.93979933110367897,0.00091848926171870376
San Francisco,-0.6159808577573086,-0.93311036789297663,0.0013744404018607651
San Francisco,-0.6159808577573086,-0.9264214046822743,0.0021133786489059671
San Francisco,-0.6159808577573086,-0.91973244147157196,0.0033152962911842088
San Francisco,-0.6159808577573086,-0.91304347826086962,0.0052250604775260891
San Francisco,-0.6159808577573086,-0.90635451505016729,0.0081564017194096904
San Francisco,-0.6159808577573086,-0.89966555183946484,0.01249640338008777
San Francisco,-0.6159808577573086,-0.8929765886287625,0.018707334702772367
San Francisco,-0.6159808577573086,-0.88628762541806017,0.027318746906923822
San Francisco,-0.6159808577573086,-0.87959866220735783,0.038904565291118999
San Francisco,-0.6159808577573086,-0.87290969899665549,0.054046024686955359
San Francisco,-0.6159808577573086,-0.86622073578595316,0.073284984987027513
San Francisco,-0.6159808577573086,-0.85953177257525082,0.097069465883855816
San Francisco,-0.6159808577573086,-0.85284280936454848,0.12568959470834704
San Francisco,-0.6159808577573086,-0.84615384615384615,0.15920780107110252
San Francisco,-0.6159808577573086,-0.83946488294314381,0.19740318351422484
San Francisco,-0.6159808577573086,-0.83277591973244147,0.23976123388800658
San Francisco,-0.6159808577573086,-0.82608695652173914,0.28552729792754755
San Francisco,-0.6159808577573086,-0.8193979933110368,0.33380609477321072
San Francisco,-0.6159808577573086,-0.81270903010033446,0.38365932645790396
San Francisco,-0.6159808577573086,-0.80602006688963213,0.43416176855528493
San Francisco,-0.6159808577573086,-0.79933110367892979,0.48442293761614824
San Francisco,-0.6159808577573086,-0.79264214046822745,0.53362438425979497
San Francisco,-0.6159808577573086,-0.78595317725752512,0.58111457775127007
San Francisco,-0.6159808577573086,-0.77926421404682278,0.62654085510475188
San Francisco,-0.6159808577573086,-0.77257525083612044,0.66993180275553144
San Francisco,-0.6159808577573086,-0.76588628762541811,0.71163597844089177
San Francisco,-0.6159808577573086,-0.75919732441471566,0.75209231946314503
San Francisco,-0.6159808577573086,-0.75250836120401332,0.79151192742591436
San Francisco,-0.6159808577573086,-0.74581939799331098,0.82962143708210156
San Francisco,-0.6159808577573086,-0.73913043478260865,0.86560796338314272
San Francisco,-0.6159808577573086,-0.73244147157190631,0.89831583408855964
San Francisco,-0.6159808577573086,-0.72575250836120397,0.92662095228730623
San Francisco,-0.6159808577573086,-0.71906354515050164,0.94981495240599334
San Francisco,-0.6159808577573086,-0.7123745819397993,0.96782049151122163
San Francisco,-0.6159808577573086,-0.70568561872909696,0.98113888240448888
San Francisco,-0.6159808577573086,-0.69899665551839463,0.99055838918709771
San Francisco,-0.6159808577573086,-0.69230769230769229,0.99675990683418636
San Francisco,-0.6159808577573086,-0.68561872909698995,0.99999836946687082
San Francisco,-0.6159808577573086,-0.67892976588628762,1
San Francisco,-0.6159808577573086,-0.67224080267558528,0.99611345285435038
San Francisco,-0.6159808577573086,-0.66555183946488294,0.98762950011155815
San Francisco,-0.6159808577573086,-0.65886287625418061,0.97410556096125467
San Francisco,-0.6159808577573086,-0.65217391304347827,0.95555350888444468
San Francisco,-0.6159808577573086,-0.64548494983277593,0.93245874392818373
San Francisco,-0.6159808577573086,-0.6387959866220736,0.9057050046543893
San Francisco,-0.6159808577573086,-0.63210702341137126,0.87649322927077855
San Francisco,-0.6159808577573086,-0.62541806020066892,0.84626760720318428
San Francisco,-0.6159808577573086,-0.61872909698996659,0.81659078517162664
San Francisco,-0.6159808577573086,-0.61204013377926425,0.78892331756980971
San Francisco,-0.6159808577573086,-0.60535117056856191,0.76434492365693585
San Francisco,-0.6159808577573086,-0.59866220735785958,0.74332323489837215
San Francisco,-0.6159808577573086,-0.59197324414715724,0.72562858031249777
San Francisco,-0.6159808577573086,-0.5852842809364549,0.71042260328355744
San Francisco,-0.6159808577573086,-0.57859531772575257,0.69647034065151947
San Francisco,-0.6159808577573086,-0.57190635451505023,0.68238770524809245
San Francisco,-0.6159808577573086,-0.56521739130434789,0.66685323506440575
San Francisco,-0.6159808577573086,-0.55852842809364556,0.6487664011082247
San Francisco,-0.6159808577573086,-0.55183946488294322,0.62738425847492096
San Francisco,-0.6159808577573086,-0.54515050167224088,0.60247142430254419
San Francisco,-0.6159808577573086,-0.53846153846153855,0.57444488453568654
San Francisco,-0.6159808577573086,-0.53177257525083621,0.54442721760200141
San Francisco,-0.6159808577573086,-0.52508361204013376,0.51410844102235598
San Francisco,-0.6159808577573086,-0.51839464882943143,0.48539187492481745
San Francisco,-0.6159808577573086,-0.51170568561872909,0.45992242135266148
San Francisco,-0.6159808577573086,-0.50501672240802675,0.4386773295833642
San Francisco,-0.6159808577573086,-0.49832775919732442,0.42177572864539958
San Francisco,-0.6159808577573086,-0.49163879598662208,0.40854979294171451
San Francisco,-0.6159808577573086,-0.48494983277591974,0.39780032303150509
San Francisco,-0.6159808577573086,-0.47826086956521741,0.38811264275741547
San Francisco,-0.6159808577573086,-0.47157190635451507,0.37814542390141348
San Francisco,-0.6159808577573086,-0.46488294314381273,0.36686465490390663
San Francisco,-0.6159808577573086,-0.4581939799331104,0.35371249092666124
San Francisco,-0.6159808577573086,-0.45150501672240806,0.33867577573650182
San Francisco,-0.6159808577573086,-0.44481605351170572,0.32221154782694528
San Francisco,-0.6159808577573086,-0.43812709030100339,0.30504084124594844
San Francisco,-0.6159808577573086,-0.43143812709030105,0.28790381683962402
San Francisco,-0.6159808577573086,-0.42474916387959871,0.27139609181025109
San Francisco,-0.6159808577573086,-0.41806020066889638,0.25593884296257191
San Francisco,-0.6159808577573086,-0.41137123745819404,0.24182904240503744
San Francisco,-0.6159808577573086,-0.4046822742474917,0.22926923648854045
San Francisco,-0.6159808577573086,-0.39799331103678925,0.21832942636476332
San Francisco,-0.6159808577573086,-0.39130434782608692,0.20888881679486626
San Francisco,-0.6159808577573086,-0.38461538461538458,0.20064577960984958
San Francisco,-0.6159808577573086,-0.37792642140468224,0.19323168638448118
San Francisco,-0.6159808577573086,-0.37123745819397991,0.18637156833236962
San Francisco,-0.6159808577573086,-0.36454849498327757,0.17998895186441377
San Francisco,-0.6159808577573086,-0.35785953177257523,0.17419003055619081
San Francisco,-0.6159808577573086,-0.3511705685618729,0.16914351117432277
San Francisco,-0.6159808577573086,-0.34448160535117056,0.16493003894588565
San Francisco,-0.6159808577573086,-0.33779264214046822,0.16143790069986047
San Francisco,-0.6159808577573086,-0.33110367892976589,0.15834668468184096
San Francisco,-0.6159808577573086,-0.32441471571906355,0.15519843264387456
San Francisco,-0.6159808577573086,-0.31772575250836121,0.15152233411748506
San Francisco,-0.6159808577573086,-0.31103678929765888,0.14695962974499815
San Francisco,-0.6159808577573086,-0.30434782608695654,0.14133825379139364
San Francisco,-0.6159808577573086,-0.2976588628762542,0.13467569487571762
San Francisco,-0.6159808577573086,-0.29096989966555187,0.12712817646666955
San Francisco,-0.6159808577573086,-0.28428093645484953,0.1189263164377956
San Francisco,-0.6159808577573086,-0.27759197324414719,0.11032738458539082
San Francisco,-0.6159808577573086,-0.27090301003344486,0.1015865694095877
San Francisco,-0.6159808577573086,-0.26421404682274252,0.092932707183036908
San Francisco,-0.6159808577573086,-0.25752508361204018,0.08454133207549723
San Francisco,-0.6159808577573086,-0.25083612040133785,0.076516542021135336
San Francisco,-0.6159808577573086,-0.24414715719063551,0.068899113684707733
San Francisco,-0.6159808577573086,-0.23745819397993317,0.061702513541916394
San Francisco,-0.6159808577573086,-0.23076923076923084,0.054955437768620413
San Francisco,-0.6159808577573086,-0.22408026755852839,0.048721519408263816
San Francisco,-0.6159808577573086,-0.21739130434782605,0.043081983144427294
San Francisco,-0.6159808577573086,-0.21070234113712372,0.038093261816909481
San Francisco,-0.6159808577573086,-0.20401337792642138,0.033749025148563962
San Francisco,-0.6159808577573086,-0.19732441471571904,0.029972877550713747
San Francisco,-0.6159808577573086,-0.19063545150501671,0.026647191045496836
San Francisco,-0.6159808577573086,-0.18394648829431437,0.023659622192671835
San Francisco,-0.6159808577573086,-0.17725752508361203,0.020938317661283949
San Francisco,-0.6159808577573086,-0.1705685618729097,0.018457042077220334
San Francisco,-0.6159808577573086,-0.16387959866220736,0.016214339101068509
San Francisco,-0.6159808577573086,-0.15719063545150502,0.01420804669880197
San Francisco,-0.6159808577573086,-0.15050167224080269,0.012424869214128697
San Francisco,-0.6159808577573086,-0.14381270903010035,0.010847935166639889
San Francisco,-0.6159808577573086,-0.13712374581939801,0.009469529900071964
San Francisco,-0.6159808577573086,-0.13043478260869568,0.0082941990022718844
San Francisco,-0.6159808577573086,-0.12374581939799334,0.0073277725337672697
San Francisco,-0.6159808577573086,-0.117056856187291,0.0065596032451863389
San Francisco,-0.6159808577573086,-0.11036789297658867,0.0059498753756794948
San Francisco,-0.6159808577573086,-0.10367892976588633,0.0054306685741599432
San Francisco,-0.6159808577573086,-0.096989966555183993,0.0049223884351050299
San Francisco,-0.6159808577573086,-0.090301003344481656,0.0043595858024975511
San Francisco,-0.6159808577573086,-0.08361204013377932,0.0037147122150536205
San Francisco,-0.6159808577573086,-0.076923076923076983,0.0030080492453243087
San Francisco,-0.6159808577573086,-0.070234113712374646,0.0022984644999041516
San Francisco,-0.6159808577573086,-0.063545150501672309,0.0016597669000417302
San Francisco,-0.6159808577573086,-0.056856187290969862,0.00115467479175866
San Francisco,-0.6159808577573086,-0.050167224080267525,0.00081804404052629638
San Francisco,-0.6159808577573086,-0.043478260869565188,0.00065425644078980882
San Francisco,-0.6159808577573086,-0.036789297658862852,0.00064604950559087537
San Francisco,-0.6159808577573086,-0.030100334448160515,0.00076809798931379476
San Francisco,-0.6159808577573086,-0.023411371237458178,0.00099874255719998076
San Francisco,-0.6159808577573086,-0.016722408026755842,0.0013252284458855359
San Francisco,-0.6159808577573086,-0.010033444816053505,0.0017402512973397931
San Francisco,-0.6159808577573086,-0.0033444816053511683,0.0022308512417367333
San Francisco,-0.6159808577573086,0.0033444816053511683,0.002764877647710706
San Francisco,-0.6159808577573086,0.010033444816053505,0.0032833894052824815
San Francisco,-0.6159808577573086,0.016722408026755842,0.0037063621234459266
San Francisco,-0.6159808577573086,0.023411371237458178,0.0039528589733125235
San Francisco,-0.6159808577573086,0.030100334448160515,0.0039682752003174608
San Francisco,-0.6159808577573086,0.036789297658862852,0.0037457786717258286
San Francisco,-0.6159808577573086,0.043478260869565188,0.0033306757833497175
San Francisco,-0.6159808577573086,0.050167224080267525,0.0028047426413939534
